#,Name,     Type     ,Initial Value [Unit],Expression [Unit] or [Unit/s]
59,CamR_total,assignment,1.45E-09,Values[CamR_unbound]+Values[CaMKII_bound_total]+Values[PP2B_bound_total]
60,CamT_total,assignment,0.0001,[CamT]+[CamT_Ca1_A]+[CamT_Ca1_B]+[CamT_Ca1_C]+[CamT_Ca1_D]+[CamT_Ca2_AB]+[CamT_Ca2_AC]+[CamT_Ca2_AD]+[CamT_Ca2_BC]+[CamT_Ca2_BD]+[CamT_Ca2_CD]+[CamT_Ca3_ABC]+[CamT_Ca3_ABD]+[CamT_Ca3_ACD]+[CamT_Ca3_BCD]+[CamT_Ca4_ABCD]
61,PP2B_total,assignment,6.00E-06,[PP2B]+[PP2Bi_Ca1]+[PP2Bi]+[PP2Bi_Ca2]+[PP2Bi_Ca3]+Values[PP2B_bound_total]
62,D_total,assignment,3.00E-06,[D]+[PP1a_Dp]+[Dp]+[D_PKA]+[Dp_CamR_PP2B]+[Dp_CamR_Ca1_A_PP2B]+[Dp_CamR_Ca1_B_PP2B]+[Dp_CamR_Ca1_C_PP2B]+[Dp_CamR_Ca1_D_PP2B]+[Dp_CamR_Ca2_AB_PP2B]+[Dp_CamR_Ca2_AC_PP2B]+[Dp_CamR_Ca2_AD_PP2B]+[Dp_CamR_Ca2_BC_PP2B]+[Dp_CamR_Ca2_BD_PP2B]+[Dp_CamR_Ca2_CD_PP2B]+[Dp_CamR_Ca3_ABC_PP2B]+[Dp_CamR_Ca3_ABD_PP2B]+[Dp_CamR_Ca3_ACD_PP2B]+[Dp_CamR_Ca3_BCD_PP2B]+[Dp_CamR_Ca4_ABCD_PP2B]
63,Dp_total,assignment,0.00E+00,[Dp]+[PP1a_Dp]+[Dp_CamR_PP2B]+[Dp_CamR_Ca1_A_PP2B]+[Dp_CamR_Ca1_B_PP2B]+[Dp_CamR_Ca1_C_PP2B]+[Dp_CamR_Ca1_D_PP2B]+[Dp_CamR_Ca2_AB_PP2B]+[Dp_CamR_Ca2_AC_PP2B]+[Dp_CamR_Ca2_AD_PP2B]+[Dp_CamR_Ca2_BC_PP2B]+[Dp_CamR_Ca2_BD_PP2B]+[Dp_CamR_Ca2_CD_PP2B]+[Dp_CamR_Ca3_ABC_PP2B]+[Dp_CamR_Ca3_ABD_PP2B]+[Dp_CamR_Ca3_ACD_PP2B]+[Dp_CamR_Ca3_BCD_PP2B]+[Dp_CamR_Ca4_ABCD_PP2B]
64,PKA_total,fixed,1.20E-06,
65,PP1a_total,assignment,2.00E-06,[PP1a]+[CaMKIIp_PP1a]+[CamR_CaMKIIp_PP1a]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]+[CamR_Ca2_AB_CaMKIIp_PP1a]+[CamR_Ca2_AC_CaMKIIp_PP1a]+[CamR_Ca2_AD_CaMKIIp_PP1a]+[CamR_Ca2_BC_CaMKIIp_PP1a]+[CamR_Ca2_BD_CaMKIIp_PP1a]+[CamR_Ca2_CD_CaMKIIp_PP1a]+[CamR_Ca3_ABC_CaMKIIp_PP1a]+[CamR_Ca3_ABD_CaMKIIp_PP1a]+[CamR_Ca3_ACD_CaMKIIp_PP1a]+[CamR_Ca3_BCD_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]
66,y_bar,assignment,0.00E+00,Values[moles_bound_Ca_per_moles_Cam]/4
67,y_bar_div_1_minus_ybar,assignment,0,Values[y_bar]/(1-Values[y_bar])
68,CamR_Ca1_ratio,assignment,0,Values[CamR_Ca1_total]/Values[Cam_total]
