,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
62000,0.250859,0.270439,0.293744,0.20713499999999999,0.222538,0.245727,0.143517,0.15770699999999999,0.17388199999999998,62.0
63000,0.25051799999999996,0.270671,0.294693,0.20655900000000002,0.22220900000000002,0.24542399999999998,0.142984,0.15734800000000002,0.173773,63.0
64000,0.25019600000000003,0.270942,0.295698,0.205992,0.221892,0.24521700000000002,0.142455,0.15699000000000002,0.173664,64.0
65000,0.249894,0.271254,0.29675999999999997,0.20543499999999998,0.22158699999999998,0.24496300000000001,0.141931,0.156633,0.173555,65.0
66000,0.249612,0.27160700000000004,0.297877,0.204886,0.221293,0.244702,0.14141199999999998,0.156278,0.17344600000000002,66.0
67000,0.24934800000000001,0.27200100000000005,0.29905,0.204347,0.22100999999999998,0.24451799999999999,0.140897,0.155925,0.17333800000000002,67.0
68000,0.249102,0.272436,0.300277,0.203815,0.22073800000000002,0.244248,0.140388,0.155574,0.17323,68.0
69000,0.24887600000000001,0.272913,0.301557,0.203292,0.22047600000000003,0.244075,0.13988299999999998,0.155225,0.173124,69.0
70000,0.248667,0.273431,0.30289,0.20277699999999999,0.220225,0.243854,0.13938399999999998,0.154877,0.173018,70.0
71000,0.248477,0.273992,0.304273,0.202269,0.219984,0.24362899999999998,0.138889,0.154532,0.172913,71.0
72000,0.24830500000000003,0.274596,0.305707,0.201768,0.21975300000000003,0.24348000000000003,0.1384,0.15418900000000002,0.172809,72.0
73000,0.248151,0.275242,0.307189,0.201275,0.219532,0.243246,0.137917,0.153848,0.172705,73.0
74000,0.24801399999999998,0.275931,0.308719,0.20078800000000002,0.21932,0.24311,0.137439,0.15350999999999998,0.172603,74.0
75000,0.247896,0.276663,0.310293,0.20030799999999999,0.21911799999999998,0.242927,0.136967,0.153173,0.172503,75.0
76000,0.247795,0.277439,0.31191199999999997,0.19983399999999998,0.218925,0.24273899999999998,0.1365,0.15284,0.172403,76.0
77000,0.247712,0.278258,0.31357199999999996,0.19936700000000002,0.218741,0.24262899999999998,0.13603900000000002,0.152508,0.17230399999999998,77.0
78000,0.247648,0.27912,0.315272,0.198906,0.21856599999999998,0.242434,0.13558399999999998,0.15217999999999998,0.172207,78.0
79000,0.24760100000000002,0.280025,0.31700900000000004,0.198451,0.2184,0.24233600000000002,0.135134,0.151853,0.172111,79.0
80000,0.247572,0.280974,0.318782,0.198001,0.218243,0.24219200000000002,0.134691,0.15153,0.172016,80.0
81000,0.247561,0.281966,0.320589,0.19755699999999998,0.218094,0.242044,0.13425299999999998,0.15120799999999998,0.171923,81.0
82000,0.247569,0.283001,0.322427,0.19711900000000002,0.217954,0.24197399999999997,0.133821,0.15089,0.17182999999999998,82.0
83000,0.24759499999999998,0.284078,0.324294,0.196686,0.217822,0.241819,0.133395,0.150574,0.171739,83.0
84000,0.24764,0.285197,0.32618800000000003,0.196259,0.21769899999999998,0.24176199999999998,0.132975,0.15026,0.17165,84.0
85000,0.247704,0.286358,0.328106,0.19583699999999998,0.217585,0.241659,0.13255999999999998,0.14995,0.171561,85.0
86000,0.24778699999999998,0.28756,0.330046,0.19542,0.21747800000000003,0.241552,0.132152,0.149642,0.171474,86.0
87000,0.24789,0.288802,0.33200599999999997,0.195009,0.21738000000000002,0.241522,0.13175,0.149336,0.171389,87.0
88000,0.24801199999999998,0.290084,0.333983,0.194602,0.21729,0.241409,0.131353,0.149034,0.17130399999999998,88.0
89000,0.24815399999999999,0.291405,0.335976,0.194201,0.21720799999999998,0.241393,0.13096300000000002,0.148734,0.171221,89.0
90000,0.24831599999999998,0.29276399999999997,0.337981,0.193804,0.217135,0.24133200000000002,0.130578,0.14843699999999999,0.171139,90.0
91000,0.24849899999999997,0.29416,0.339997,0.193413,0.217069,0.24126799999999998,0.130199,0.148142,0.171058,91.0
92000,0.248702,0.295591,0.342022,0.193026,0.21701199999999998,0.24128000000000002,0.129827,0.14785,0.170979,92.0
93000,0.248927,0.297057,0.344053,0.192644,0.216964,0.24120999999999998,0.12946,0.147561,0.170901,93.0
