#,Name,Reaction,Rate Law
1,Ca binding to CamR site A,CamR + Ca -> CamR_Ca1_A,Mass action (irreversible)
2,Ca binding to CamR site B,CamR + Ca -> CamR_Ca1_B,Mass action (irreversible)
3,Ca binding to CamR site C,CamR + Ca -> CamR_Ca1_C,Mass action (irreversible)
4,Ca binding to CamR site D,CamR + Ca -> CamR_Ca1_D,Mass action (irreversible)
5,Ca dissociating from CamR_Ca1_A site A,CamR_Ca1_A -> CamR + Ca,Mass action (irreversible)
6,Ca dissociating from CamR_Ca1_B site B,CamR_Ca1_B -> CamR + Ca,Mass action (irreversible)
7,Ca dissociating from CamR_Ca1_C site C,CamR_Ca1_C -> CamR + Ca,Mass action (irreversible)
8,Ca dissociating from CamR_Ca1_D site D,CamR_Ca1_D -> CamR + Ca,Mass action (irreversible)
9,Ca binding to CamR_Ca1_A site B,CamR_Ca1_A + Ca -> CamR_Ca2_AB,Mass action (irreversible)
10,Ca binding to CamR_Ca1_A site C,CamR_Ca1_A + Ca -> CamR_Ca2_AC,Mass action (irreversible)
11,Ca binding to CamR_Ca1_A site D,CamR_Ca1_A + Ca -> CamR_Ca2_AD,Mass action (irreversible)
12,Ca binding to CamR_Ca1_B site A,CamR_Ca1_B + Ca -> CamR_Ca2_AB,Mass action (irreversible)
13,Ca binding to CamR_Ca1_B site C,CamR_Ca1_B + Ca -> CamR_Ca2_BC,Mass action (irreversible)
14,Ca binding to CamR_Ca1_B site D,CamR_Ca1_B + Ca -> CamR_Ca2_BD,Mass action (irreversible)
15,Ca binding to CamR_Ca1_C site A,CamR_Ca1_C + Ca -> CamR_Ca2_AC,Mass action (irreversible)
16,Ca binding to CamR_Ca1_C site B,CamR_Ca1_C + Ca -> CamR_Ca2_BC,Mass action (irreversible)
17,Ca binding to CamR_Ca1_C site D,CamR_Ca1_C + Ca -> CamR_Ca2_CD,Mass action (irreversible)
18,Ca binding to CamR_Ca1_D site A,CamR_Ca1_D + Ca -> CamR_Ca2_AD,Mass action (irreversible)
19,Ca binding to CamR_Ca1_D site B,CamR_Ca1_D + Ca -> CamR_Ca2_BD,Mass action (irreversible)
20,Ca binding to CamR_Ca1_D site C,CamR_Ca1_D + Ca -> CamR_Ca2_CD,Mass action (irreversible)
21,Ca dissociating from CamR_Ca2_AB site B,CamR_Ca2_AB -> CamR_Ca1_A + Ca,Mass action (irreversible)
22,Ca dissociating from CamR_Ca2_AC site C,CamR_Ca2_AC -> CamR_Ca1_A + Ca,Mass action (irreversible)
23,Ca dissociating from CamR_Ca2_AD site D,CamR_Ca2_AD -> CamR_Ca1_A + Ca,Mass action (irreversible)
24,Ca dissociating from CamR_Ca2_AB site A,CamR_Ca2_AB -> CamR_Ca1_B + Ca,Mass action (irreversible)
25,Ca dissociating from CamR_Ca2_BC site C,CamR_Ca2_BC -> CamR_Ca1_B + Ca,Mass action (irreversible)
26,Ca dissociating from CamR_Ca2_BD site D,CamR_Ca2_BD -> CamR_Ca1_B + Ca,Mass action (irreversible)
27,Ca dissociating from CamR_Ca2_AC site A,CamR_Ca2_AC -> CamR_Ca1_C + Ca,Mass action (irreversible)
28,Ca dissociating from CamR_Ca2_BC site B,CamR_Ca2_BC -> CamR_Ca1_C + Ca,Mass action (irreversible)
29,Ca dissociating from CamR_Ca2_CD site D,CamR_Ca2_CD -> CamR_Ca1_C + Ca,Mass action (irreversible)
30,Ca dissociating from CamR_Ca2_AD site A,CamR_Ca2_AD -> CamR_Ca1_D + Ca,Mass action (irreversible)
31,Ca dissociating from CamR_Ca2_BD site B,CamR_Ca2_BD -> CamR_Ca1_D + Ca,Mass action (irreversible)
32,Ca dissociating from CamR_Ca2_CD site C,CamR_Ca2_CD -> CamR_Ca1_D + Ca,Mass action (irreversible)
33,Ca binding to CamR_Ca2_AB site C,CamR_Ca2_AB + Ca -> CamR_Ca3_ABC,Mass action (irreversible)
34,Ca binding to CamR_Ca2_AB site D,CamR_Ca2_AB + Ca -> CamR_Ca3_ABD,Mass action (irreversible)
35,Ca binding to CamR_Ca2_AC site B,CamR_Ca2_AC + Ca -> CamR_Ca3_ABC,Mass action (irreversible)
36,Ca binding to CamR_Ca2_AC site D,CamR_Ca2_AC + Ca -> CamR_Ca3_ACD,Mass action (irreversible)
37,Ca binding to CamR_Ca2_AD site B,CamR_Ca2_AD + Ca -> CamR_Ca3_ABD,Mass action (irreversible)
38,Ca binding to CamR_Ca2_AD site C,CamR_Ca2_AD + Ca -> CamR_Ca3_ACD,Mass action (irreversible)
39,Ca binding to CamR_Ca2_BC site A,CamR_Ca2_BC + Ca -> CamR_Ca3_ABC,Mass action (irreversible)
40,Ca binding to CamR_Ca2_BC site D,CamR_Ca2_BC + Ca -> CamR_Ca3_BCD,Mass action (irreversible)
41,Ca binding to CamR_Ca2_BD site A,CamR_Ca2_BD + Ca -> CamR_Ca3_ABD,Mass action (irreversible)
42,Ca binding to CamR_Ca2_BD site C,CamR_Ca2_BD + Ca -> CamR_Ca3_BCD,Mass action (irreversible)
43,Ca binding to CamR_Ca2_CD site A,CamR_Ca2_CD + Ca -> CamR_Ca3_ACD,Mass action (irreversible)
44,Ca binding to CamR_Ca2_CD site B,CamR_Ca2_CD + Ca -> CamR_Ca3_BCD,Mass action (irreversible)
45,Ca dissociating from CamR_Ca3_ABC site A,CamR_Ca3_ABC -> CamR_Ca2_BC + Ca,Mass action (irreversible)
46,Ca dissociating from CamR_Ca3_ABC site B,CamR_Ca3_ABC -> CamR_Ca2_AC + Ca,Mass action (irreversible)
47,Ca dissociating from CamR_Ca3_ABC site C,CamR_Ca3_ABC -> CamR_Ca2_AB + Ca,Mass action (irreversible)
48,Ca dissociating from CamR_Ca3_ABD site A,CamR_Ca3_ABD -> CamR_Ca2_BD + Ca,Mass action (irreversible)
49,Ca dissociating from CamR_Ca3_ABD site B,CamR_Ca3_ABD -> CamR_Ca2_AD + Ca,Mass action (irreversible)
50,Ca dissociating from CamR_Ca3_ABD site D,CamR_Ca3_ABD -> CamR_Ca2_AB + Ca,Mass action (irreversible)
51,Ca dissociating from CamR_Ca3_ACD site A,CamR_Ca3_ACD -> CamR_Ca2_CD + Ca,Mass action (irreversible)
52,Ca dissociating from CamR_Ca3_ACD site C,CamR_Ca3_ACD -> CamR_Ca2_AD + Ca,Mass action (irreversible)
53,Ca dissociating from CamR_Ca3_ACD site D,CamR_Ca3_ACD -> CamR_Ca2_AC + Ca,Mass action (irreversible)
54,Ca dissociating from CamR_Ca3_BCD site B,CamR_Ca3_BCD -> CamR_Ca2_CD + Ca,Mass action (irreversible)
55,Ca dissociating from CamR_Ca3_BCD site C,CamR_Ca3_BCD -> CamR_Ca2_BD + Ca,Mass action (irreversible)
56,Ca dissociating from CamR_Ca3_BCD site D,CamR_Ca3_BCD -> CamR_Ca2_BC + Ca,Mass action (irreversible)
57,Ca binding to CamR_Ca3_ABC site D,CamR_Ca3_ABC + Ca -> CamR_Ca4_ABCD,Mass action (irreversible)
58,Ca binding to CamR_Ca3_ABD site C,CamR_Ca3_ABD + Ca -> CamR_Ca4_ABCD,Mass action (irreversible)
59,Ca binding to CamR_Ca3_ACD site B,CamR_Ca3_ACD + Ca -> CamR_Ca4_ABCD,Mass action (irreversible)
60,Ca binding to CamR_Ca3_BCD site A,CamR_Ca3_BCD + Ca -> CamR_Ca4_ABCD,Mass action (irreversible)
61,Ca dissociating from CamR_Ca4_ABCD site D,CamR_Ca4_ABCD -> CamR_Ca3_ABC + Ca,Mass action (irreversible)
62,Ca dissociating from CamR_Ca4_ABCD site C,CamR_Ca4_ABCD -> CamR_Ca3_ABD + Ca,Mass action (irreversible)
63,Ca dissociating from CamR_Ca4_ABCD site B,CamR_Ca4_ABCD -> CamR_Ca3_ACD + Ca,Mass action (irreversible)
64,Ca dissociating from CamR_Ca4_ABCD site A,CamR_Ca4_ABCD -> CamR_Ca3_BCD + Ca,Mass action (irreversible)
65,Ca binding to camT site A,CamT + Ca -> CamT_Ca1_A,Mass action (irreversible)
66,Ca binding to camT site B,CamT + Ca -> CamT_Ca1_B,Mass action (irreversible)
67,Ca binding to camT site C,CamT + Ca -> CamT_Ca1_C,Mass action (irreversible)
68,Ca binding to camT site D,CamT + Ca -> CamT_Ca1_D,Mass action (irreversible)
69,Ca dissociating from camT_ca1_A site A,CamT_Ca1_A -> CamT + Ca,Mass action (irreversible)
70,Ca dissociating from camT_ca1_B site B,CamT_Ca1_B -> CamT + Ca,Mass action (irreversible)
71,Ca dissociating from camT_ca1_C site C,CamT_Ca1_C -> CamT + Ca,Mass action (irreversible)
72,Ca dissociating from camT_ca1_D site D,CamT_Ca1_D -> CamT + Ca,Mass action (irreversible)
73,Ca binding to camT_ca1_A site B,CamT_Ca1_A + Ca -> CamT_Ca2_AB,Mass action (irreversible)
74,Ca binding to camT_ca1_A site C,CamT_Ca1_A + Ca -> CamT_Ca2_AC,Mass action (irreversible)
75,Ca binding to camT_ca1_A site D,CamT_Ca1_A + Ca -> CamT_Ca2_AD,Mass action (irreversible)
76,Ca binding to camT_ca1_B site A,CamT_Ca1_B + Ca -> CamT_Ca2_AB,Mass action (irreversible)
77,Ca binding to camT_ca1_B site C,CamT_Ca1_B + Ca -> CamT_Ca2_BC,Mass action (irreversible)
78,Ca binding to camT_ca1_B site D,CamT_Ca1_B + Ca -> CamT_Ca2_BD,Mass action (irreversible)
79,Ca binding to camT_ca1_C site A,CamT_Ca1_C + Ca -> CamT_Ca2_AC,Mass action (irreversible)
80,Ca binding to camT_ca1_C site B,CamT_Ca1_C + Ca -> CamT_Ca2_BC,Mass action (irreversible)
81,Ca binding to CamT_ca1_C site D,CamT_Ca1_C + Ca -> CamT_Ca2_CD,Mass action (irreversible)
82,Ca binding to CamT_ca1_D site A,CamT_Ca1_D + Ca -> CamT_Ca2_AD,Mass action (irreversible)
83,Ca binding to CamT_ca1_D site B,CamT_Ca1_D + Ca -> CamT_Ca2_BD,Mass action (irreversible)
84,Ca binding to CamT_ca1_D site C,CamT_Ca1_D + Ca -> CamT_Ca2_CD,Mass action (irreversible)
85,Ca dissociating from CamT_ca2_AB site A,CamT_Ca2_AB -> CamT_Ca1_B + Ca,Mass action (irreversible)
86,Ca dissociating from CamT_ca2_AB site B,CamT_Ca2_AB -> CamT_Ca1_A + Ca,Mass action (irreversible)
87,Ca dissociating from CamT_ca2_AC site A,CamT_Ca2_AC -> CamT_Ca1_C + Ca,Mass action (irreversible)
88,Ca dissociating from CamT_ca2_AC site C,CamT_Ca2_AC -> CamT_Ca1_A + Ca,Mass action (irreversible)
89,Ca dissociating from CamT_ca2_AD site A,CamT_Ca2_AD -> CamT_Ca1_D + Ca,Mass action (irreversible)
90,Ca dissociating from CamT_ca2_AD site D,CamT_Ca2_AD -> CamT_Ca1_A + Ca,Mass action (irreversible)
91,Ca dissociating from CamT_ca2_BC site B,CamT_Ca2_BC -> CamT_Ca1_C + Ca,Mass action (irreversible)
92,Ca dissociating from CamT_ca2_BC site C,CamT_Ca2_BC -> CamT_Ca1_B + Ca,Mass action (irreversible)
93,Ca dissociating from CamT_ca2_BD site B,CamT_Ca2_BD -> CamT_Ca1_D + Ca,Mass action (irreversible)
94,Ca dissociating from CamT_ca2_BD site D,CamT_Ca2_BD -> CamT_Ca1_B + Ca,Mass action (irreversible)
95,Ca dissociating from CamT_ca2_CD site C,CamT_Ca2_CD -> CamT_Ca1_D + Ca,Mass action (irreversible)
96,Ca dissociating from CamT_ca2_CD site D,CamT_Ca2_CD -> CamT_Ca1_C + Ca,Mass action (irreversible)
97,Ca binding to CamT_ca2_AB site C,CamT_Ca2_AB + Ca -> CamT_Ca3_ABC,Mass action (irreversible)
98,Ca binding to CamT_ca2_AB site D,CamT_Ca2_AB + Ca -> CamT_Ca3_ABD,Mass action (irreversible)
99,Ca binding to CamT_ca2_AC site B,CamT_Ca2_AC + Ca -> CamT_Ca3_ABC,Mass action (irreversible)
100,Ca binding to CamT_ca2_AC site D,CamT_Ca2_AC + Ca -> CamT_Ca3_ACD,Mass action (irreversible)
101,Ca binding to CamT_Ca2_AD site B,CamT_Ca2_AD + Ca -> CamT_Ca3_ABD,Mass action (irreversible)
102,Ca binding to CamT_Ca2_AD site C,CamT_Ca2_AD + Ca -> CamT_Ca3_ACD,Mass action (irreversible)
103,Ca binding to CamT_Ca2_BC site A,CamT_Ca2_BC + Ca -> CamT_Ca3_ABC,Mass action (irreversible)
104,Ca binding to CamT_Ca2_BC site D,CamT_Ca2_BC + Ca -> CamT_Ca3_BCD,Mass action (irreversible)
105,Ca binding to CamT_Ca2_BD site A,CamT_Ca2_BD + Ca -> CamT_Ca3_ABD,Mass action (irreversible)
106,Ca binding to CamT_Ca2_BD site C,CamT_Ca2_BD + Ca -> CamT_Ca3_BCD,Mass action (irreversible)
107,Ca binding to CamT_Ca2_CD site A,CamT_Ca2_CD + Ca -> CamT_Ca3_ACD,Mass action (irreversible)
108,Ca binding to CamT_Ca2_CD site B,CamT_Ca2_CD + Ca -> CamT_Ca3_BCD,Mass action (irreversible)
109,Ca dissociating from CamT_Ca3_ABC site B,CamT_Ca3_ABC -> CamT_Ca2_AC + Ca,Mass action (irreversible)
110,Ca dissociating from CamT_Ca3_ABC site A,CamT_Ca3_ABC -> CamT_Ca2_BC + Ca,Mass action (irreversible)
111,Ca dissociating from CamT_Ca3_ABD site D,CamT_Ca3_ABD -> CamT_Ca2_AB + Ca,Mass action (irreversible)
112,Ca dissociating from CamT_Ca3_ABD site B,CamT_Ca3_ABD -> CamT_Ca2_AD + Ca,Mass action (irreversible)
113,Ca dissociating from CamT_Ca3_ABD site A,CamT_Ca3_ABD -> CamT_Ca2_BD + Ca,Mass action (irreversible)
114,Ca dissociating from CamT_Ca3_ACD site D,CamT_Ca3_ACD -> CamT_Ca2_AC + Ca,Mass action (irreversible)
115,Ca dissociating from CamT_Ca3_ACD site C,CamT_Ca3_ACD -> CamT_Ca2_AD + Ca,Mass action (irreversible)
116,Ca dissociating from CamT_Ca3_ACD site A,CamT_Ca3_ACD -> CamT_Ca2_CD + Ca,Mass action (irreversible)
117,Ca dissociating from CamT_Ca3_BCD site D,CamT_Ca3_BCD -> CamT_Ca2_BC + Ca,Mass action (irreversible)
118,Ca dissociating from CamT_Ca3_BCD site C,CamT_Ca3_BCD -> CamT_Ca2_BD + Ca,Mass action (irreversible)
119,Ca dissociating from CamT_Ca3_BCD site B,CamT_Ca3_BCD -> CamT_Ca2_CD + Ca,Mass action (irreversible)
120,Ca binding to CamT_Ca3_ABC site D,CamT_Ca3_ABC + Ca -> CamT_Ca4_ABCD,Mass action (irreversible)
121,Ca binding to CamT_Ca3_ABD site C,CamT_Ca3_ABD + Ca -> CamT_Ca4_ABCD,Mass action (irreversible)
122,Ca binding to CamT_Ca3_ACD site B,CamT_Ca3_ACD + Ca -> CamT_Ca4_ABCD,Mass action (irreversible)
123,Ca binding to CamT_Ca3_BCD site A,CamT_Ca3_BCD + Ca -> CamT_Ca4_ABCD,Mass action (irreversible)
124,Ca dissociating from CamT_Ca4_ABCD site D,CamT_Ca4_ABCD -> CamT_Ca3_ABC + Ca,Mass action (irreversible)
125,Ca dissociating from CamT_Ca4_ABCD site C,CamT_Ca4_ABCD -> CamT_Ca3_ABD + Ca,Mass action (irreversible)
126,Ca dissociating from CamT_Ca4_ABCD site B,CamT_Ca4_ABCD -> CamT_Ca3_ACD + Ca,Mass action (irreversible)
127,Ca dissociating from CamT_Ca4_ABCD site A,CamT_Ca4_ABCD -> CamT_Ca3_BCD + Ca,Mass action (irreversible)
128,Transition CamR to CamT,CamR -> CamT,Mass action (irreversible)
129,Transition CamT to CamR,CamT -> CamR,Mass action (irreversible)
130,Transition CamR_Ca1_A to CamT_Ca1_A,CamR_Ca1_A -> CamT_Ca1_A,Mass action (irreversible)
131,Transition CamR_Ca1_B to CamT_Ca1_B,CamR_Ca1_B -> CamT_Ca1_B,Mass action (irreversible)
132,Transition CamR_Ca1_C to CamT_Ca1_C,CamR_Ca1_C -> CamT_Ca1_C,Mass action (irreversible)
133,Transition CamR_Ca1_D to CamT_Ca1_D,CamR_Ca1_D -> CamT_Ca1_D,Mass action (irreversible)
134,Transition CamT_Ca1_A to CamR_Ca1_A,CamT_Ca1_A -> CamR_Ca1_A,Mass action (irreversible)
135,Transition CamT_Ca1_B to CamR_Ca1_B,CamT_Ca1_B -> CamR_Ca1_B,Mass action (irreversible)
136,Transition CamT_Ca1_C to CamR_Ca1_C,CamT_Ca1_C -> CamR_Ca1_C,Mass action (irreversible)
137,Transition CamT_Ca1_D to CamR_Ca1_D,CamT_Ca1_D -> CamR_Ca1_D,Mass action (irreversible)
138,Transition CamR_Ca2_AB to CamT_Ca2_AB,CamR_Ca2_AB -> CamT_Ca2_AB,Mass action (irreversible)
139,Transition CamR_Ca2_AC to CamT_Ca2_AC,CamR_Ca2_AC -> CamT_Ca2_AC,Mass action (irreversible)
140,Transition CamR_Ca2_AD to CamT_Ca2_AD,CamR_Ca2_AD -> CamT_Ca2_AD,Mass action (irreversible)
141,Transition CamR_Ca2_BC to CamT_Ca2_BC,CamR_Ca2_BC -> CamT_Ca2_BC,Mass action (irreversible)
142,Transition CamR_Ca2_BD to CamT_Ca2_BD,CamR_Ca2_BD -> CamT_Ca2_BD,Mass action (irreversible)
143,Transition CamR_Ca2_CD to CamT_Ca2_CD,CamR_Ca2_CD -> CamT_Ca2_CD,Mass action (irreversible)
144,Transition CamT_Ca2_AB to CamR_Ca2_AB,CamT_Ca2_AB -> CamR_Ca2_AB,Mass action (irreversible)
145,Transition CamT_Ca2_AC to CamR_Ca2_AC,CamT_Ca2_AC -> CamR_Ca2_AC,Mass action (irreversible)
146,Transition CamT_Ca2_AD to CamR_Ca2_AD,CamT_Ca2_AD -> CamR_Ca2_AD,Mass action (irreversible)
147,Transition CamT_Ca2_BC to CamR_Ca2_BC,CamT_Ca2_BC -> CamR_Ca2_BC,Mass action (irreversible)
148,Transition CamT_Ca2_BD to CamR_Ca2_BD,CamT_Ca2_BD -> CamR_Ca2_BD,Mass action (irreversible)
149,Transition CamT_Ca2_CD to CamR_Ca2_CD,CamT_Ca2_CD -> CamR_Ca2_CD,Mass action (irreversible)
150,Transition CamR_Ca3_ABC to CamT_Ca3_ABC,CamR_Ca3_ABC -> CamT_Ca3_ABC,Mass action (irreversible)
151,Transition CamR_Ca3_ABD to CamT_Ca3_ABD,CamR_Ca3_ABD -> CamT_Ca3_ABD,Mass action (irreversible)
152,Transition CamR_Ca3_ACD to CamT_Ca3_ACD,CamR_Ca3_ACD -> CamT_Ca3_ACD,Mass action (irreversible)
153,Transition CamR_Ca3_BCD to CamT_Ca3_BCD,CamR_Ca3_BCD -> CamT_Ca3_BCD,Mass action (irreversible)
154,Transition CamT_Ca3_ABC to CamR_Ca3_ABC,CamT_Ca3_ABC -> CamR_Ca3_ABC,Mass action (irreversible)
155,Transition CamT_Ca3_ABD to CamR_Ca3_ABD,CamT_Ca3_ABD -> CamR_Ca3_ABD,Mass action (irreversible)
156,Transition CamT_Ca3_ACD to CamR_Ca3_ACD,CamT_Ca3_ACD -> CamR_Ca3_ACD,Mass action (irreversible)
157,Transition CamT_Ca3_BCD to CamR_Ca3_BCD,CamT_Ca3_BCD -> CamR_Ca3_BCD,Mass action (irreversible)
158,Transition CamR_Ca4_ABCD to CamT_Ca4_ABCD,CamR_Ca4_ABCD -> CamT_Ca4_ABCD,Mass action (irreversible)
159,Transition CamT_Ca4_ABCD to CamR_Ca4_ABCD,CamT_Ca4_ABCD -> CamR_Ca4_ABCD,Mass action (irreversible)
160,CamKII binding to CamR,CamR + CaMKII -> CamR_CaMKII,Mass action (irreversible)
161,CamKII binding to CamR_Ca1_A,CamR_Ca1_A + CaMKII -> CamR_Ca1_A_CaMKII,Mass action (irreversible)
162,CamKII binding to CamR_Ca1_B,CamR_Ca1_B + CaMKII -> CamR_Ca1_B_CaMKII,Mass action (irreversible)
163,CamKII binding to CamR_Ca1_C,CamR_Ca1_C + CaMKII -> CamR_Ca1_C_CaMKII,Mass action (irreversible)
164,CamKII binding to CamR_Ca1_D,CamR_Ca1_D + CaMKII -> CamR_Ca1_D_CaMKII,Mass action (irreversible)
165,CamKII binding to CamR_Ca2_AB,CamR_Ca2_AB + CaMKII -> CamR_Ca2_AB_CaMKII,Mass action (irreversible)
166,CamKII binding to CamR_Ca2_AC,CamR_Ca2_AC + CaMKII -> CamR_Ca2_AC_CaMKII,Mass action (irreversible)
167,CamKII binding to CamR_Ca2_AD,CamR_Ca2_AD + CaMKII -> CamR_Ca2_AD_CaMKII,Mass action (irreversible)
168,CamKII binding to CamR_Ca2_BC,CamR_Ca2_BC + CaMKII -> CamR_Ca2_BC_CaMKII,Mass action (irreversible)
169,CamKII binding to CamR_Ca2_BD,CamR_Ca2_BD + CaMKII -> CamR_Ca2_BD_CaMKII,Mass action (irreversible)
170,CamKII binding to CamR_Ca2_CD,CamR_Ca2_CD + CaMKII -> CamR_Ca2_CD_CaMKII,Mass action (irreversible)
171,CamKII binding to CamR_Ca3_ABC,CamR_Ca3_ABC + CaMKII -> CamR_Ca3_ABC_CaMKII,Mass action (irreversible)
172,CamKII binding to CamR_Ca3_ABD,CamR_Ca3_ABD + CaMKII -> CamR_Ca3_ABD_CaMKII,Mass action (irreversible)
173,CamKII binding to CamR_Ca3_ACD,CamR_Ca3_ACD + CaMKII -> CamR_Ca3_ACD_CaMKII,Mass action (irreversible)
174,CamKII binding to CamR_Ca3_BCD,CamR_Ca3_BCD + CaMKII -> CamR_Ca3_BCD_CaMKII,Mass action (irreversible)
175,CamKII binding to CamR_Ca4_ABCD,CamR_Ca4_ABCD + CaMKII -> CamR_Ca4_ABCD_CaMKII,Mass action (irreversible)
176,CamKII dissociating from CamR,CamR_CaMKII -> CamR + CaMKII,Mass action (irreversible)
177,CamKII dissociating from CamR_Ca1_A,CamR_Ca1_A_CaMKII -> CamR_Ca1_A + CaMKII,Mass action (irreversible)
178,CamKII dissociating from CamR_Ca1_B,CamR_Ca1_B_CaMKII -> CamR_Ca1_B + CaMKII,Mass action (irreversible)
179,CamKII dissociating from CamR_Ca1_C,CamR_Ca1_C_CaMKII -> CamR_Ca1_C + CaMKII,Mass action (irreversible)
180,CamKII dissociating from CamR_Ca1_D,CamR_Ca1_D_CaMKII -> CamR_Ca1_D + CaMKII,Mass action (irreversible)
181,CamKII dissociating from CamR_Ca2_AB,CamR_Ca2_AB_CaMKII -> CamR_Ca2_AB + CaMKII,Mass action (irreversible)
182,CamKII dissociating from CamR_Ca2_AC,CamR_Ca2_AC_CaMKII -> CamR_Ca2_AC + CaMKII,Mass action (irreversible)
183,CamKII dissociating from CamR_Ca2_AD,CamR_Ca2_AD_CaMKII -> CamR_Ca2_AD + CaMKII,Mass action (irreversible)
184,CamKII dissociating from CamR_Ca2_BC,CamR_Ca2_BC_CaMKII -> CamR_Ca2_BC + CaMKII,Mass action (irreversible)
185,CamKII dissociating from CamR_Ca2_BD,CamR_Ca2_BD_CaMKII -> CamR_Ca2_BD + CaMKII,Mass action (irreversible)
186,CamKII dissociating from CamR_Ca2_CD,CamR_Ca2_CD_CaMKII -> CamR_Ca2_CD + CaMKII,Mass action (irreversible)
187,CamKII dissociating from CamR_Ca3_ABC,CamR_Ca3_ABC_CaMKII -> CamR_Ca3_ABC + CaMKII,Mass action (irreversible)
188,CamKII dissociating from CamR_Ca3_ABD,CamR_Ca3_ABD_CaMKII -> CamR_Ca3_ABD + CaMKII,Mass action (irreversible)
189,CamKII dissociating from CamR_Ca3_ACD,CamR_Ca3_ACD_CaMKII -> CamR_Ca3_ACD + CaMKII,Mass action (irreversible)
190,CamKII dissociating from CamR_Ca3_BCD,CamR_Ca3_BCD_CaMKII -> CamR_Ca3_BCD + CaMKII,Mass action (irreversible)
191,CamKII dissociating from CamR_Ca4_ABCD,CamR_Ca4_ABCD_CaMKII -> CamR_Ca4_ABCD + CaMKII,Mass action (irreversible)
192,PP2B binding to CamR,CamR + PP2B -> CamR_PP2B,Mass action (irreversible)
193,PP2B binding to CamR_Ca1_A,CamR_Ca1_A + PP2B -> CamR_Ca1_A_PP2B,Mass action (irreversible)
194,PP2B binding to CamR_Ca1_B,CamR_Ca1_B + PP2B -> CamR_Ca1_B_PP2B,Mass action (irreversible)
195,PP2B binding to CamR_Ca1_C,CamR_Ca1_C + PP2B -> CamR_Ca1_C_PP2B,Mass action (irreversible)
196,PP2B binding to CamR_Ca1_D,CamR_Ca1_D + PP2B -> CamR_Ca1_D_PP2B,Mass action (irreversible)
197,PP2B binding to CamR_Ca2_AB,CamR_Ca2_AB + PP2B -> CamR_Ca2_AB_PP2B,Mass action (irreversible)
198,PP2B binding to CamR_Ca2_AD,CamR_Ca2_AD + PP2B -> CamR_Ca2_AD_PP2B,Mass action (irreversible)
199,PP2B binding to CamR_Ca2_BC,CamR_Ca2_BC + PP2B -> CamR_Ca2_BC_PP2B,Mass action (irreversible)
200,PP2B binding to CamR_Ca2_BD,CamR_Ca2_BD + PP2B -> CamR_Ca2_BD_PP2B,Mass action (irreversible)
201,PP2B binding to CamR_Ca2_CD,CamR_Ca2_CD + PP2B -> CamR_Ca2_CD_PP2B,Mass action (irreversible)
202,PP2B binding to CamR_Ca3_ABC,CamR_Ca3_ABC + PP2B -> CamR_Ca3_ABC_PP2B,Mass action (irreversible)
203,PP2B binding to CamR_Ca3_ABD,CamR_Ca3_ABD + PP2B -> CamR_Ca3_ABD_PP2B,Mass action (irreversible)
204,PP2B binding to CamR_Ca3_ACD,CamR_Ca3_ACD + PP2B -> CamR_Ca3_ACD_PP2B,Mass action (irreversible)
205,PP2B binding to CamR_Ca3_BCD,CamR_Ca3_BCD + PP2B -> CamR_Ca3_BCD_PP2B,Mass action (irreversible)
206,PP2B binding to CamR_Ca4_ABCD,CamR_Ca4_ABCD + PP2B -> CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
207,PP2B dissociating from CamR,CamR_PP2B -> CamR + PP2B,Mass action (irreversible)
208,PP2B dissociating from CamR_Ca1_A,CamR_Ca1_A_PP2B -> CamR_Ca1_A + PP2B,Mass action (irreversible)
209,PP2B dissociating from CamR_Ca1_B,CamR_Ca1_B_PP2B -> CamR_Ca1_B + PP2B,Mass action (irreversible)
210,PP2B dissociating from CamR_Ca1_C,CamR_Ca1_C_PP2B -> CamR_Ca1_C + PP2B,Mass action (irreversible)
211,PP2B dissociating from CamR_Ca1_D,CamR_Ca1_D_PP2B -> CamR_Ca1_D + PP2B,Mass action (irreversible)
212,PP2B dissociating from CamR_Ca2_AB,CamR_Ca2_AB_PP2B -> CamR_Ca2_AB + PP2B,Mass action (irreversible)
213,PP2B dissociating from CamR_Ca2_AC,CamR_Ca2_AC_PP2B -> CamR_Ca2_AC + PP2B,Mass action (irreversible)
214,PP2B dissociating from CamR_Ca2_AD,CamR_Ca2_AD_PP2B -> CamR_Ca2_AD + PP2B,Mass action (irreversible)
215,PP2B dissociating from CamR_Ca2_BC,CamR_Ca2_BC_PP2B -> CamR_Ca2_BC + PP2B,Mass action (irreversible)
216,PP2B dissociating from CamR_Ca2_BD,CamR_Ca2_BD_PP2B -> CamR_Ca2_BD + PP2B,Mass action (irreversible)
217,PP2B dissociating from CamR_Ca2_CD,CamR_Ca2_CD_PP2B -> CamR_Ca2_CD + PP2B,Mass action (irreversible)
218,PP2B dissociating from CamR_Ca3_ABC,CamR_Ca3_ABC_PP2B -> CamR_Ca3_ABC + PP2B,Mass action (irreversible)
219,PP2B dissociating from CamR_Ca3_ABD,CamR_Ca3_ABD_PP2B -> CamR_Ca3_ABD + PP2B,Mass action (irreversible)
220,PP2B dissociating from CamR_Ca3_ACD,CamR_Ca3_ACD_PP2B -> CamR_Ca3_ACD + PP2B,Mass action (irreversible)
