#,Name,Reaction,Rate Law
325,Ca binding to CamR_Ca2_BC_PP2B site D,CamR_Ca2_BC_PP2B + Ca -> CamR_Ca3_BCD_PP2B,Mass action (irreversible)
326,Ca binding to CamR_Ca2_BD_PP2B site A,CamR_Ca2_BD_PP2B + Ca -> CamR_Ca3_ABD_PP2B,Mass action (irreversible)
327,Ca binding to CamR_Ca2_BD_PP2B site C,CamR_Ca2_BD_PP2B + Ca -> CamR_Ca3_BCD_PP2B,Mass action (irreversible)
328,Ca binding to CamR_Ca2_CD_PP2B site A,CamR_Ca2_CD_PP2B + Ca -> CamR_Ca3_ACD_PP2B,Mass action (irreversible)
329,Ca binding to CamR_Ca2_CD_PP2B site B,CamR_Ca2_CD_PP2B + Ca -> CamR_Ca3_BCD_PP2B,Mass action (irreversible)
330,Ca dissociating from CamR_Ca3_ABC_PP2B site A,CamR_Ca3_ABC_PP2B -> CamR_Ca2_BC_PP2B + Ca,Mass action (irreversible)
331,Ca dissociating from CamR_Ca3_ABC_PP2B site B,CamR_Ca3_ABC_PP2B -> CamR_Ca2_AC_PP2B + Ca,Mass action (irreversible)
332,Ca dissociating from CamR_Ca3_ABC_PP2B site C,CamR_Ca3_ABC_PP2B -> CamR_Ca2_AB_PP2B + Ca,Mass action (irreversible)
333,Ca dissociating from CamR_Ca3_ABD_PP2B site A,CamR_Ca3_ABD_PP2B -> CamR_Ca2_BD_PP2B + Ca,Mass action (irreversible)
334,Ca dissociating from CamR_Ca3_ABD_PP2B site B,CamR_Ca3_ABD_PP2B -> CamR_Ca2_AD_PP2B + Ca,Mass action (irreversible)
335,Ca dissociating from CamR_Ca3_ABD_PP2B site D,CamR_Ca3_ABD_PP2B -> CamR_Ca2_AB_PP2B + Ca,Mass action (irreversible)
336,Ca dissociating from CamR_Ca3_ACD_PP2B site A,CamR_Ca3_ACD_PP2B -> CamR_Ca2_CD_PP2B + Ca,Mass action (irreversible)
337,Ca dissociating from CamR_Ca3_ACD_PP2B site C,CamR_Ca3_ACD_PP2B -> CamR_Ca2_AD_PP2B + Ca,Mass action (irreversible)
338,Ca dissociating from CamR_Ca3_ACD_PP2B site D,CamR_Ca3_ACD_PP2B -> CamR_Ca2_AC_PP2B + Ca,Mass action (irreversible)
339,Ca dissociating from CamR_Ca3_BCD_PP2B site B,CamR_Ca3_BCD_PP2B -> CamR_Ca2_CD_PP2B + Ca,Mass action (irreversible)
340,Ca dissociating from CamR_Ca3_BCD_PP2B site C,CamR_Ca3_BCD_PP2B -> CamR_Ca2_BD_PP2B + Ca,Mass action (irreversible)
341,Ca dissociating from CamR_Ca3_BCD_PP2B site D,CamR_Ca3_BCD_PP2B -> CamR_Ca2_BC_PP2B + Ca,Mass action (irreversible)
342,Ca binding to CamR_Ca3_ABC_PP2B site D,CamR_Ca3_ABC_PP2B + Ca -> CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
343,Ca binding to CamR_Ca3_ABD_PP2B site C,CamR_Ca3_ABD_PP2B + Ca -> CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
344,Ca binding to CamR_Ca3_ACD_PP2B site B,CamR_Ca3_ACD_PP2B + Ca -> CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
345,Ca binding to CamR_Ca3_BCD_PP2B site A,CamR_Ca3_BCD_PP2B + Ca -> CamR_Ca4_ABCD_PP2B,Mass action (irreversible)
346,Ca dissociating from CamR_Ca4_ABCD_PP2B site A,CamR_Ca4_ABCD_PP2B -> CamR_Ca3_BCD_PP2B + Ca,Mass action (irreversible)
347,Ca dissociating from CamR_Ca4_ABCD_PP2B site B,CamR_Ca4_ABCD_PP2B -> CamR_Ca3_ACD_PP2B + Ca,Mass action (irreversible)
348,Ca dissociating from CamR_Ca4_ABCD_PP2B site C,CamR_Ca4_ABCD_PP2B -> CamR_Ca3_ABD_PP2B + Ca,Mass action (irreversible)
349,Ca dissociating from CamR_Ca4_ABCD_PP2B site D,CamR_Ca4_ABCD_PP2B -> CamR_Ca3_ABC_PP2B + Ca,Mass action (irreversible)
350,Ca dissociating from CamR_Ca1_CamKII site B,CamR_Ca1_B_CaMKII -> CamR_CaMKII + Ca,Mass action (irreversible)
351,Ca dissociating from CamT_Ca3_ABC site C,CamT_Ca3_ABC -> CamT_Ca2_AB + Ca,Mass action (irreversible)
352,CamR_CaMKII Phosphorylation,CamR_CaMKII -> CamR_CaMKIIp,Mass action (irreversible)
353,CamR_Ca1_A_CaMKII phosphorylation,CamR_Ca1_A_CaMKII -> CamR_Ca1_A_CaMKIIp,Mass action (irreversible)
354,CamR_Ca1_B_CaMKII Phosphorylation,CamR_Ca1_B_CaMKII -> CamR_Ca1_B_CaMKIIp,Mass action (irreversible)
355,CamR_Ca1_C_CaMKII phosphorylation,CamR_Ca1_C_CaMKII -> CamR_Ca1_C_CaMKIIp,Mass action (irreversible)
356,CamR_Ca1_D_CaMKII phosphorylation,CamR_Ca1_D_CaMKII -> CamR_Ca1_D_CaMKIIp,Mass action (irreversible)
357,CamR_Ca2_AB_CaMKII phosphorylation,CamR_Ca2_AB_CaMKII -> CamR_Ca2_AB_CaMKIIp,Mass action (irreversible)
358,CamR_Ca2_AC_CaMKII phosphorylation,CamR_Ca2_AC_CaMKII -> CamR_Ca2_AC_CaMKIIp,Mass action (irreversible)
359,CamR_Ca2_AD_CaMKII phosphorylation,CamR_Ca2_AD_CaMKII -> CamR_Ca2_AD_CaMKIIp,Mass action (irreversible)
360,CamR_Ca2_BC_CaMKII phosphorylation,CamR_Ca2_BC_CaMKII -> CamR_Ca2_BC_CaMKIIp,Mass action (irreversible)
361,CamR_Ca2_BD_CaMKII phosphorylation,CamR_Ca2_BD_CaMKII -> CamR_Ca2_BD_CaMKIIp,Mass action (irreversible)
362,CamR_Ca2_CD_CaMKII phosphorylation,CamR_Ca2_CD_CaMKII -> CamR_Ca2_CD_CaMKIIp,Mass action (irreversible)
363,CamR_Ca3_ABC_CaMKII phosphorylation,CamR_Ca3_ABC_CaMKII -> CamR_Ca3_ABC_CaMKIIp,Mass action (irreversible)
364,CamR_Ca3_ABD_CaMKII phosphorylation,CamR_Ca3_ABD_CaMKII -> CamR_Ca3_ABD_CaMKIIp,Mass action (irreversible)
