Time	[Ca]	Values[AMPAR_bar]	Values[CaMKII_active_ratio]	Values[CaMKIIp_bar]	Values[CamCaMKII_bar]	Values[CamR_ratio]	Values[Dp_bar]	Values[PKA_bar]	Values[PP1a_bar]	Values[PP2B_bar]
0.081	1.90304e-09	0.296952	0.0685082	0.0173513	0.159729	0.0480999	0.973102	0.01	0.155246	0.00302135
0.082	1.96097e-09	0.296952	0.0685081	0.0173513	0.159729	0.0480999	0.973102	0.01	0.155246	0.00302135
0.083	2.02373e-09	0.296952	0.068508	0.0173513	0.159729	0.0480998	0.973102	0.01	0.155246	0.00302134
0.084	2.09221e-09	0.296952	0.068508	0.0173513	0.159729	0.0480998	0.973102	0.01	0.155246	0.00302134
0.085	2.16767e-09	0.296952	0.0685079	0.0173513	0.159729	0.0480997	0.973102	0.01	0.155246	0.00302133
0.086	2.25192e-09	0.296952	0.0685078	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302132
0.087	2.34776e-09	0.296952	0.0685077	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302132
0.088	2.45983e-09	0.296952	0.0685077	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302131
0.089	2.59673e-09	0.296952	0.0685076	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302131
0.09	2.77795e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.0030213
0.091	3.07428e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.0030213
0.092	7.0645e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.0030213
0.093	6.2154e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480998	0.973102	0.01	0.155246	0.0030213
0.094	3.68595e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480999	0.973102	0.01	0.155246	0.0030213
0.095	2.75137e-09	0.296952	0.0685076	0.0173513	0.159728	0.0481	0.973102	0.01	0.155246	0.0030213
0.096	2.25551e-09	0.296952	0.0685076	0.0173513	0.159728	0.0481001	0.973102	0.01	0.155246	0.00302131
0.097	1.95729e-09	0.296952	0.0685077	0.0173513	0.159728	0.0481001	0.973102	0.01	0.155246	0.00302131
0.098	1.76376e-09	0.296952	0.0685078	0.0173513	0.159728	0.0481001	0.973102	0.01	0.155246	0.00302132
0.099	1.63239e-09	0.296952	0.0685079	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302132
0.1	1.54088e-09	0.296952	0.0685079	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302132
0.101	1.47624e-09	0.296952	0.068508	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302133
0.102	1.43035e-09	0.296952	0.068508	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302133
0.103	1.398e-09	0.296952	0.0685081	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302133
0.104	1.37569e-09	0.296952	0.0685081	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302134
0.105	1.36109e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302134
0.106	1.3526e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302134
0.107	1.34913e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481003	0.973102	0.01	0.155246	0.00302134
0.108	1.34989e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302134
0.109	1.35432e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302134
0.11	1.36204e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302134
0.111	1.37275e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481002	0.973102	0.01	0.155246	0.00302134
0.112	1.38624e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481001	0.973102	0.01	0.155246	0.00302134
0.113	1.40234e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481001	0.973102	0.01	0.155246	0.00302134
0.114	1.42096e-09	0.296952	0.0685082	0.0173513	0.159729	0.0481001	0.973102	0.01	0.155246	0.00302134
0.115	1.44199e-09	0.296952	0.0685081	0.0173513	0.159729	0.0481	0.973102	0.01	0.155246	0.00302133
0.116	1.46538e-09	0.296952	0.0685081	0.0173513	0.159729	0.0481	0.973102	0.01	0.155246	0.00302133
0.117	1.4911e-09	0.296952	0.068508	0.0173513	0.159729	0.0480999	0.973102	0.01	0.155246	0.00302133
0.118	1.51914e-09	0.296952	0.068508	0.0173513	0.159729	0.0480999	0.973102	0.01	0.155246	0.00302132
0.119	1.54949e-09	0.296952	0.0685079	0.0173513	0.159729	0.0480998	0.973102	0.01	0.155246	0.00302132
0.12	1.58219e-09	0.296952	0.0685079	0.0173513	0.159729	0.0480998	0.973102	0.01	0.155246	0.00302132
0.121	1.61729e-09	0.296952	0.0685078	0.0173513	0.159729	0.0480997	0.973102	0.01	0.155246	0.00302131
0.122	1.65486e-09	0.296952	0.0685078	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302131
0.123	1.69503e-09	0.296952	0.0685077	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.0030213
0.124	1.73795e-09	0.296952	0.0685076	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.0030213
0.125	1.78381e-09	0.296952	0.0685076	0.0173513	0.159728	0.0480995	0.973102	0.01	0.155246	0.00302129
0.126	1.83287e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480995	0.973102	0.01	0.155246	0.00302129
0.127	1.88546e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480994	0.973102	0.01	0.155246	0.00302128
0.128	1.94203e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480993	0.973102	0.01	0.155246	0.00302128
0.129	2.00317e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480993	0.973102	0.01	0.155246	0.00302127
0.13	2.06967e-09	0.296952	0.0685072	0.0173513	0.159727	0.0480992	0.973102	0.01	0.155246	0.00302126
0.131	2.14266e-09	0.296952	0.0685071	0.0173513	0.159727	0.0480992	0.973102	0.01	0.155246	0.00302126
0.132	2.22371e-09	0.296952	0.068507	0.0173513	0.159727	0.0480991	0.973102	0.01	0.155246	0.00302125
0.133	2.31523e-09	0.296952	0.068507	0.0173513	0.159727	0.0480991	0.973102	0.01	0.155246	0.00302125
0.134	2.42104e-09	0.296952	0.0685069	0.0173513	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302124
0.135	2.54795e-09	0.296952	0.0685068	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302124
0.136	2.7101e-09	0.296952	0.0685068	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302123
0.137	2.94813e-09	0.296952	0.0685067	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302123
0.138	4.45795e-09	0.296952	0.0685067	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302122
0.139	8.21797e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302122
0.14	4.24589e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480993	0.973102	0.01	0.155246	0.00302122
0.141	3.00509e-09	0.296952	0.0685068	0.0173513	0.159726	0.0480994	0.973102	0.01	0.155246	0.00302123
0.142	2.39303e-09	0.296952	0.0685068	0.0173513	0.159726	0.0480995	0.973102	0.01	0.155246	0.00302123
0.143	2.03858e-09	0.296952	0.0685069	0.0173513	0.159726	0.0480996	0.973102	0.01	0.155246	0.00302123
0.144	1.81407e-09	0.296952	0.068507	0.0173513	0.159727	0.0480996	0.973102	0.01	0.155246	0.00302124
0.145	1.66394e-09	0.296952	0.0685071	0.0173513	0.159727	0.0480996	0.973102	0.01	0.155246	0.00302124
0.146	1.56033e-09	0.296952	0.0685071	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302125
0.147	1.48752e-09	0.296952	0.0685072	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302125
0.148	1.43594e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302126
0.149	1.39945e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302126
0.15	1.37403e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302126
0.151	1.35701e-09	0.296952	0.0685074	0.0173513	0.159727	0.0480997	0.973102	0.01	0.155246	0.00302126
